,板块名称,BK涨跌幅,总市值,换手率,涨跌家数,领涨股票,SK涨跌幅
0,电子元件,2.22,3723418133542,3.40,193|5|36|3,博敏电子,10.02
1,材料行业,2.04,757673268882,2.52,67|3|13|1,长阳科技,11.88
2,汽车行业,1.91,2031795783737,1.74,125|7|17|0,德联集团,10.05
3,电信运营,1.67,243034330886,0.97,4|1|0|0,光环新网,3.51
4,专用设备,1.62,825785644878,2.22,95|1|26|0,中微公司,16.02
5,券商信托,1.50,2840944851405,1.31,39|1|2|1,红塔证券,10.02
6,化工行业,1.50,1615419156731,1.65,148|12|38|1,N和远,43.99
7,软件服务,1.48,2348576409123,3.75,154|4|24|0,立昂技术,10.02
8,玻璃陶瓷,1.48,321484099318,1.60,24|2|6|1,中材科技,8.44
9,仪器仪表,1.42,258185670104,1.98,41|1|6|0,三川智慧,10.06
10,金属制品,1.41,398564707022,2.11,43|4|14|0,中房股份,10.06
11,电子信息,1.37,1188121671784,3.79,81|6|28|4,利欧股份,10.10
12,文化传媒,1.28,1119025619042,1.92,76|6|19|2,新华网,10.01
13,工艺商品,1.23,9286737705,1.24,3|0|0|0,邦宝益智,1.65
14,保险,1.14,3472605476801,0.38,7|0|0|0,中国平安,1.97
15,输配电气,1.08,932703507524,1.38,81|3|27|1,特锐德,9.98
16,安防设备,1.07,537403431663,1.67,18|1|3|1,高德红外,10.00
17,塑胶制品,1.04,359720439416,2.31,43|1|11|1,永高股份,9.97
18,有色金属,0.99,1045690874521,1.13,60|2|14|0,云南锗业,6.53
19,通讯行业,0.95,1620927698982,3.17,82|4|19|1,闻泰科技,10.00
20,纺织服装,0.89,432576905340,1.45,54|10|20|1,协鑫能科,10.09
21,交运设备,0.86,404181699328,0.65,17|1|9|0,永安行,9.98
22,医药制造,0.86,3537702204496,1.31,163|11|63|3,瑞普生物,10.02
23,公用事业,0.84,320001043885,0.53,33|2|5|1,侨银环保,9.99
24,医疗行业,0.83,1058401872576,1.35,52|6|14|2,大博医疗,6.45
25,造纸印刷,0.79,221689344830,1.23,22|5|5|0,环球印务,10.02
26,装修装饰,0.78,125941534234,1.43,21|0|5|0,金螳螂,4.12
27,酿酒行业,0.77,2887864215462,1.28,27|3|8|1,口子窖,4.73
28,家电行业,0.72,1423558382874,1.22,36|5|10|2,聚隆科技,4.05
29,食品饮料,0.71,1270087280631,1.47,52|6|23|2,恒顺醋业,5.90
30,航天航空,0.71,416987430169,1.19,19|0|7|0,中航重机,5.34
31,文教休闲,0.65,355354593913,2.18,17|4|12|2,姚记科技,6.65
32,环保工程,0.64,276661042113,1.85,29|4|16|1,中建环能,6.38
33,农药兽药,0.63,224014296248,1.17,23|0|8|0,申联生物,3.73
34,工程建设,0.61,1334348227667,0.46,56|3|23|0,博信股份,6.55
35,包装材料,0.60,201435334007,1.43,19|2|6|0,英联股份,4.43
36,机械行业,0.59,1718004740670,1.30,155|21|73|0,英维克,9.99
37,化纤行业,0.55,356894885642,1.02,14|1|9|0,恒力石化,4.99
38,珠宝首饰,0.55,80328481128,3.03,6|1|7|0,飞亚达,6.29
39,钢铁行业,0.55,688085048060,0.44,24|5|9|0,武进不锈,3.78
40,国际贸易,0.50,194515073956,1.80,12|1|13|0,江苏国泰,6.89
41,房地产,0.50,2435554212495,0.78,83|21|37|3,鲁商发展,10.02
42,木业家具,0.44,272909427969,2.13,24|3|9|0,永艺股份,10.01
43,电力行业,0.43,1676160242220,0.37,40|11|19|1,吉电股份,9.97
44,综合行业,0.42,187415269664,1.18,18|1|7|1,广电计量,4.13
45,高速公路,0.38,288839042868,0.45,13|2|6|0,城发环境,2.69
46,银行,0.38,11346489798775,0.14,26|4|6|0,常熟银行,2.73
47,化肥行业,0.31,156717382920,1.21,13|2|7|0,金正大,1.74
48,石油行业,0.30,2131399258878,0.17,19|6|14|1,博迈科,6.54
49,农牧饲渔,0.28,1097428077265,2.25,43|7|21|0,荃银高科,4.98
50,商业百货,0.27,718071250160,1.77,44|6|30|0,大东方,10.12
51,民航机场,0.25,647960986439,0.58,8|0|5|0,华夏航空,2.07
52,多元金融,0.20,429691800875,1.34,16|3|8|1,爱建集团,2.24
53,旅游酒店,0.19,378386004492,1.00,23|3|11|0,众信旅游,4.76
54,煤炭采选,0.15,896048461099,0.56,22|6|8|0,淮北矿业,2.02
55,交运物流,0.14,979712084583,0.63,32|4|22|1,天顺股份,4.54
56,水泥建材,-0.01,734466714462,1.42,23|2|20|0,福建水泥,8.00
57,园林工程,-0.03,85057051101,1.32,10|4|8|2,农尚环境,5.32
58,港口水运,-0.04,683504161467,0.40,17|4|11|0,淮河能源,1.52
59,船舶制造,-0.40,218617944009,0.68,3|1|7|0,瑞特股份,0.78
60,贵金属,-0.64,321149532901,1.58,2|0|12|0,贵研铂业,2.00
